original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event,Source
60,30.0,0.049421966979675956,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
68,42.0,0.3066241230648338,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
3,62.5,0.7760687891250492,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
32,61.5,0.7367054320164892,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
62,34.0,0.07873081119613402,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
78,44.5,0.22345358710490415,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
35,15.0,0.0589541985622435,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
64,53.0,0.437890005937993,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
52,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
60,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
77,2.0,0.27332167829229814,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
105,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
9,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
0,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
99,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
53,1.0,0.28504940740261275,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
85,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
16,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
39,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
17,1.5,0.1974660733580187,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
15,5.0,1.0,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
27,5.0,1.0,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
11,4.5,0.8539232992870668,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
9,94.0,0.681322326150025,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
24,77.5,0.4809735057899752,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
76,89.5,0.5626508656896176,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
10,76.5,0.2871272506036675,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
94,103.0,0.9404809859004396,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
87,87.5,0.5133653859579521,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
1,83.5,0.42213524686051795,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
15,57.0,0.214374303800544,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
97,69.0,0.47239920501692023,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
39,89.0,0.5501529499651694,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
2,18.5,0.3477548985675142,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
11,27.0,0.9591410100221092,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
77,34.0,0.24304120590031453,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s lose vs 10s baseline,lose
21,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
28,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
53,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
46,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
45,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
33,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
109,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
76,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
39,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
26,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
44,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
22,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
48,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
74,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
37,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
58,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
1,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
23,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
20,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
29,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
115,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
59,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
51,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
55,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
27,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
102,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
78,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
6,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s lose vs 10s baseline,lose
