,original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
164,124,12.0,0.4609375,not significant,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,3-3,10s win vs 10s baseline
165,148,14.0,0.640625,not significant,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,3-3,10s win vs 10s baseline
166,45,7.0,0.1484375,not significant,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,3-3,10s win vs 10s baseline
167,146,14.0,0.640625,not significant,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,3-3,10s win vs 10s baseline
168,109,10.5,0.6875,not significant,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,3-3,10s win vs 10s baseline
169,60,7.0,0.1484375,not significant,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,3-3,10s win vs 10s baseline
170,67,17.5,1.0,not significant,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,3-3,10s win vs 10s baseline
171,0,,,,20240320_171038_alone_comp_subj_4-2_t6b6_merged.rec,4-2,10s win vs 10s baseline
172,33,35.0,0.1688232421875,not significant,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,4-3,10s win vs 10s baseline
173,42,48.5,0.2068939208984375,not significant,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,4-3,10s win vs 10s baseline
174,150,27.0,0.00457763671875,increases,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,4-3,10s win vs 10s baseline
175,13,26.0,0.003917694091796875,increases,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,4-3,10s win vs 10s baseline
